        Deg.          Ve          P1          P2      dmr/dt      dm1/dt      dm2/dt         Cv1         Cv2       P1-P2
         115      29.021       2.045       1.928       7.000       4.663       0.000       0.456       0.000       0.117
         116      30.168       2.041       1.924       7.041       4.662       0.000       0.444       0.000       0.117
         118      31.327       2.038       1.920       7.075       4.656       0.000       0.431       0.000       0.118
         119      32.499       2.035       1.916       7.102       4.644       0.000       0.419       0.000       0.118
         121      33.682       2.031       1.912       7.123       4.626       0.000       0.406       0.000       0.119
         122      34.874       2.027       1.908       7.136       4.602       0.000       0.393       0.000       0.119
         123      36.077       2.023       1.904       7.141       4.571       0.000       0.380       0.000       0.119
         125      37.288       2.019       1.900       7.139       4.533       0.000       0.367       0.000       0.119
         126      38.507       2.014       1.896       7.129       4.489       0.000       0.354       0.000       0.119
         128      39.734       2.010       1.891       7.111       4.437       0.000       0.341       0.000       0.119
         129      40.967       2.005       1.887       7.084       4.379       0.000       0.328       0.000       0.118
         131      42.205       2.000       1.882       7.050       4.313       0.000       0.315       0.000       0.117
         132      43.449       1.994       1.878       7.007       4.240       0.000       0.302       0.000       0.117
         134      44.697       1.989       1.873       6.955       4.159       0.000       0.288       0.000       0.116
         135      45.948       1.983       1.868       6.895       4.071       0.000       0.275       0.000       0.115
         136      47.201       1.977       1.863       6.826       3.975       0.000       0.262       0.000       0.114
         138      48.457       1.971       1.858       6.748       3.872       0.000       0.249       0.000       0.112
         139      49.713       1.964       1.853       6.662       3.762       0.000       0.236       0.000       0.111
         141      50.970       1.957       1.848       6.567       3.644       0.000       0.223       0.000       0.109
         142      52.226       1.950       1.843       6.463       3.519       0.000       0.211       0.000       0.108
         144      53.480       1.943       1.837       6.350       3.388       0.000       0.198       0.000       0.106
         145      54.733       1.935       1.831       6.229       3.249       0.000       0.185       0.000       0.104
         146      55.982       1.927       1.826       6.099       3.103       0.000       0.173       0.000       0.102
         148      57.228       1.919       1.820       5.962       2.952       0.000       0.161       0.000       0.099
         149      58.469       1.911       1.814       5.816       2.794       0.000       0.149       0.000       0.097
         151      59.704       1.902       1.808       5.662       2.631       0.000       0.137       0.000       0.094
         152      60.934       1.893       1.801       5.501       2.463       0.000       0.126       0.000       0.092
         154      62.157       1.884       1.795       5.333       2.291       0.000       0.114       0.000       0.089
         155      63.372       1.874       1.788       5.159       2.115       0.000       0.103       0.000       0.086
         157      64.578       1.865       1.782       4.978       1.935       0.000       0.092       0.000       0.083
         158      65.775       1.855       1.775       4.793       1.754       0.000       0.082       0.000       0.080
         159      66.963       1.844       1.768       4.602       1.571       0.000       0.072       0.000       0.077
         161      68.139       1.834       1.761       4.407       1.387       0.000       0.062       0.000       0.073
